Years	Categories	nPPA
2011	G06N-005/02	33
2013	G06N-005/04	31
2012	G06N-005/02	30
2011	G06N-005/04	25
2013	G06N-005/02	24
2013	G06N-005/02/2	23
2011	G06N-005/04/6	23
2012	G06N-005/04	21
2010	G06N-005/02	21
2012	G06N-005/02/5	20
2011	G06N-005/02/2	20
2013	G06N-005/02/5	20
2010	G06N-005/04	20
2011	G06N-005/02/5	17
2013	G06N-099/00/5	17
2010	G06N-005/02/2	14
2011	G06N-005/04/7	13
2011	G06N-099/00/5	13
2016	G06N-099/00/5	13
2014	G06N-005/04/8	13
2014	G06N-005/02	13
2007	G06N-005/02/2	12
2014	G06N-005/02/2	12
2016	G06N-005/02	11
2012	G06N-099/00/5	11
2012	G06N-005/02/2	11
2014	G06N-099/00/5	11
2011	G06N-007/00/5	11
2016	G06N-005/04/8	11
2016	G06N-005/04	11
2016	G06N-005/04/3	10
2014	G06N-005/04	10
2007	G06N-005/02	9
2010	G06N-099/00/5	9
2011	G06N-005/04/3	8
2012	G06N-005/04/8	8
2007	G06N-005/04	8
2014	G06N-005/04/7	8
2014	G06N-005/04/6	8
2013	G06N-005/04/8	7
2013	G06N-007/00/5	7
2014	G06N-007/00/5	7
2013	G06N-005/04/6	7
2010	G06N-005/02/5	7
2007	G06N-005/02/5	6
2014	G06N-005/04/3	6
2012	G06N-005/04/6	6
2008	G06N-005/02	5
2015	G06N-005/02/2	5
2009	G06N-005/04	5
2011	G06N-005/04/8	5
2015	G06N-099/00/5	5
2013	G06N-005/04/3	5
2009	G06N-005/02/5	5
2012	G06N-005/04/7	5
2008	G06N-005/04	5
2014	G06N-005/02/5	5
2015	G06N-005/04	4
2007	G06N-099/00/5	4
2008	G06N-005/02/5	4
2010	G06N-005/04/6	4
2010	G06N-005/04/8	4
2012	G06N-007/00/5	4
2012	G06N-005/04/3	3
2010	G06N-005/04/3	3
2009	G06N-005/02	3
2010	G06N-007/00/5	3
2016	G06N-005/02/5	3
2015	G06N-005/04/6	3
2009	G06N-005/02/2	3
2009	G06N-099/00/5	2
2016	G06N-005/04/7	2
2015	G06N-005/02	2
2010	G06N-005/04/7	2
2015	G06N-005/02/5	2
2015	G06N-005/04/8	2
2015	G06N-005/04/7	2
2015	G06N-007/00/5	2
2009	G06N-005/04/3	2
2009	G06N-005/04/7	2
2015	G06N-005/04/3	1
2016	G06N-007/00/5	1
2016	G06N-005/02/2	1
2013	G06N-005/04/7	1
2008	G06N-005/02/2	1
2016	G06N-005/04/6	1
2008	G06N-005/04/8	1
